product_id,sku,display,attr,version,created_at,created_by,updated_at,updated_by,id,m28sku
14542,sku01678261512047,Set,{"Quantity": "Set"},,2023-03-08 14:45:12.047000 +07:00,leminhthanh,,,15071,
14543,sku01678261562281,Piece,{"Quantity": "Piece"},,2023-03-08 14:46:02.281000 +07:00,leminhthanh,,,15072,
14575,sku01678332887147,Piece,{"Quantity": "Piece"},,2023-03-09 10:34:47.147000 +07:00,vongocphu,,,15104,
14576,sku01678332917307,Piece,{"Quantity": "Piece"},,2023-03-09 10:35:17.307000 +07:00,saphia,,,15105,
14608,sku01678413339763,Piece,{"Quantity": "Piece"},,2023-03-10 08:55:39.763000 +07:00,vongocphu,,,15137,
14641,sku01678438961615,Piece,{"Quantity": "Piece"},,2023-03-10 16:02:41.615000 +07:00,hoanhnguyet,,,15170,
14674,sku01678675389477,Piece,{"Quantity": "Piece"},,2023-03-13 09:43:09.477000 +07:00,leminhthanh,,,15203,
14675,sku01678676687348,Piece,{"Quantity": "Piece"},,2023-03-13 10:04:47.348000 +07:00,vongocphu,,,15204,
14676,sku01678677057126,Piece,{"Quantity": "Piece"},,2023-03-13 10:10:57.126000 +07:00,vongocphu,,,15205,
14677,sku01678696734717,Piece,{"Quantity": "Piece"},,2023-03-13 15:38:54.717000 +07:00,saphia,,,15206,
14678,sku01678697570291,Piece,{"Quantity": "Piece"},,2023-03-13 15:52:50.291000 +07:00,saphia,,,15207,
14678,sku11678698990938,Piece/Black ,{"Color": "Black "."Quantity": "Piece"},,2023-03-13 16:16:30.938000 +07:00,saphia,,,15208,
14678,sku21678698990966,Piece/White,{"Color": "White"."Quantity": "Piece"},,2023-03-13 16:16:30.966000 +07:00,saphia,,,15209,
14678,sku31678698990981,Piece/Red,{"Color": "Red"."Quantity": "Piece"},,2023-03-13 16:16:30.981000 +07:00,saphia,,,15210,
14707,sku01678768500995,set,{"quantity": "set"},,2023-03-14 11:35:00.995000 +07:00,phamvanvinh,,,15211,
14740,sku01678893139932,Set,{"Quantity": "Set"},,2023-03-15 22:12:19.932000 +07:00,leminhthanh,,,15236,
14741,sku01678933813600,Piece,{"Quantity": "Piece"},,2023-03-16 09:30:13.600000 +07:00,saphia,,,15237,
14742,sku01678937789487,Set,{"Quantity": "Set"},,2023-03-16 10:36:29.487000 +07:00,vongocphu,,,15238,
14743,sku01678938126064,Piece,{"Quantity": "Piece"},,2023-03-16 10:42:06.064000 +07:00,vongocphu,,,15239,
14744,sku01678938607504,Set,{"Quantity": "Set"},,2023-03-16 10:50:07.504000 +07:00,vongocphu,,,15240,
14745,sku01678938826340,Piece,{"Quantity": "Piece"},,2023-03-16 10:53:46.340000 +07:00,leminhthanh,,,15241,
14746,sku01678939441244,Piece,{"Quantity": "Piece"},,2023-03-16 11:04:01.244000 +07:00,hoanhnguyet,,,15242,
14747,sku01678939628041,piece,{"Quantity": "piece"},,2023-03-16 11:07:08.041000 +07:00,hoanhnguyet,,,15243,
14748,sku01678939808773,Piece,{"Quantity": "Piece"},,2023-03-16 11:10:08.773000 +07:00,vongocphu,,,15244,
14749,sku01678952568122,set,{"quantity": "set"},,2023-03-16 14:42:48.122000 +07:00,phamvanvinh,,,15245,
14750,sku01679004462253,piece,{"Quantity": "piece"},,2023-03-17 05:07:42.253000 +07:00,hoanhnguyet,,,15246,
14773,sku01679047190398,Piece,{"Quantity": "Piece"},,2023-03-17 16:59:50.398000 +07:00,vongocphu,,,15269,
14774,sku01679047321401,Piece,{"Quantity": "Piece"},,2023-03-17 17:02:01.401000 +07:00,vongocphu,,,15270,
14806,sku01679181257166,Piece,{"Quantity": "Piece"},,2023-03-19 06:14:17.166000 +07:00,hoanhnguyet,,,15302,
14839,sku01679294604885,Black,{"Quantity": "Black"},,2023-03-20 13:43:24.885000 +07:00,leminhthanh,,,15335,
14839,sku11679294604939,Gold,{"Quantity": "Gold"},,2023-03-20 13:43:24.939000 +07:00,leminhthanh,,,15336,
14840,sku01679294654877,Piece,{"Quantity": "Piece"},,2023-03-20 13:44:14.877000 +07:00,leminhthanh,,,15337,
14872,sku01679450334543,Piece,{"Quantity": "Piece"},,2023-03-22 08:58:54.543000 +07:00,vongocphu,,,15368,
14873,sku01679459578593,Set,{"Quantity": "Set"},,2023-03-22 11:32:58.593000 +07:00,vongocphu,,,15369,
14874,sku01679460356324,Piece,{"Quantity": "Piece"},,2023-03-22 11:45:56.324000 +07:00,hoanhnguyet,,,15370,
14875,sku01679472304788,Piece,{"Quantity": "Piece"},,2023-03-22 15:05:04.788000 +07:00,vongocphu,,,15371,
14905,sku01679555865783,Piece,{"Quantity": "Piece"},,2023-03-23 14:17:45.783000 +07:00,leminhthanh,,,15401,
